iter	Passed	Remaining
0	56	17007
1	57	8508
2	57	5656
3	57	4239
4	57	3391
5	57	2826
6	57	2422
7	58	2120
8	58	1883
9	58	1697
10	58	1545
11	59	1419
12	59	1311
13	59	1214
14	59	1134
15	60	1066
16	60	1001
17	60	943
18	60	894
19	60	847
20	60	805
21	60	767
22	60	733
23	61	701
24	61	671
25	61	645
26	61	620
27	61	597
28	61	576
29	61	557
30	62	539
31	62	522
32	62	505
33	62	489
34	62	474
35	63	462
36	63	449
37	63	436
38	63	424
39	63	415
40	64	404
41	64	396
42	64	386
43	64	378
44	65	368
45	65	361
46	65	354
47	66	347
48	66	342
49	67	336
50	67	330
51	67	323
52	68	317
53	68	312
54	68	306
55	69	301
56	69	295
57	69	291
58	70	286
59	70	281
60	70	277
61	71	273
62	71	269
63	71	264
64	72	261
65	72	257
66	72	253
67	73	250
68	73	246
69	73	242
70	74	239
71	74	236
72	74	233
73	75	230
74	75	227
75	75	223
76	76	221
77	76	218
78	77	215
79	77	212
80	77	210
81	78	207
82	78	205
83	79	203
84	79	201
85	80	199
86	80	196
87	80	194
88	81	192
89	81	190
90	81	187
91	82	185
92	82	183
93	82	181
94	83	179
95	83	177
96	83	175
97	84	173
98	84	171
99	84	169
100	84	167
101	85	165
102	85	163
103	85	161
104	86	160
105	86	158
106	86	156
107	87	155
108	87	153
109	88	152
110	88	151
111	89	149
112	89	148
113	89	146
114	89	144
115	90	142
116	90	141
117	91	140
118	91	138
119	91	137
120	92	136
121	92	134
122	92	133
123	92	131
124	93	130
125	93	129
126	93	127
127	94	126
128	94	125
129	94	124
130	95	122
131	95	121
132	95	120
133	96	119
134	96	117
135	96	116
136	97	115
137	97	114
138	97	113
139	98	112
140	98	111
141	98	109
142	99	108
143	99	107
144	99	106
145	99	105
146	100	104
147	100	103
148	100	102
149	100	100
150	101	99
151	101	98
152	101	97
153	101	96
154	101	94
155	101	93
156	101	92
157	102	91
158	102	90
159	102	89
160	102	88
161	103	87
162	103	87
163	103	86
164	104	85
165	104	84
166	104	83
167	105	82
168	105	81
169	105	80
170	106	80
171	106	79
172	107	78
173	107	78
174	108	77
175	108	76
176	109	75
177	109	75
178	110	74
179	110	73
180	110	72
181	111	72
182	111	71
183	111	70
184	112	69
185	112	68
186	112	68
187	113	67
188	113	66
189	113	65
190	114	65
191	114	64
192	114	63
193	115	63
194	115	62
195	116	61
196	116	60
197	116	60
198	117	59
199	117	58
200	117	57
201	118	57
202	118	56
203	118	55
204	119	55
205	119	54
206	119	53
207	120	53
208	120	52
209	120	51
210	121	51
211	121	50
212	121	49
213	122	49
214	122	48
215	122	47
216	123	47
217	123	46
218	123	45
219	124	45
220	124	44
221	125	43
222	125	43
223	125	42
224	126	42
225	126	41
226	126	40
227	127	40
228	127	39
229	127	38
230	128	38
231	128	37
232	128	37
233	129	36
234	129	35
235	129	35
236	130	34
237	130	33
238	130	33
239	130	32
240	131	32
241	131	31
242	132	30
243	132	30
244	132	29
245	133	29
246	133	28
247	134	28
248	134	27
249	134	26
250	135	26
251	135	25
252	135	25
253	136	24
254	136	24
255	136	23
256	136	22
257	137	22
258	137	21
259	138	21
260	138	20
261	138	20
262	139	19
263	139	19
264	139	18
265	140	17
266	140	17
267	140	16
268	140	16
269	141	15
270	141	15
271	141	14
272	142	14
273	142	13
274	142	12
275	143	12
276	143	11
277	143	11
278	144	10
279	144	10
280	144	9
281	145	9
282	145	8
283	145	8
284	146	7
285	146	7
286	147	6
287	147	6
288	147	5
289	148	5
290	148	4
291	149	4
292	149	3
293	149	3
294	150	2
295	150	2
296	150	1
297	151	1
298	152	0
299	152	0
